name,cuisine,category,location,city,price,lat,lng,rating
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,New York City,2,40.7300129,-74.0028476,
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,New York City,2,40.7358132,-74.0008906,
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,New York City,2,40.7413439,-73.9863879,
Bibble & Sip,Bakery,Desserts|Quick Bites,Hell's Kitchen|Little Italy,New York City,2,40.7179357,-73.997631,
The Little Shop,Bar,Bar|Drinks|Speakeasy,Seaport,New York City,2,40.7083747,-74.0009552,
Eataly NYC,Italian,Lunch/Dinner,FiDi|Nomad,New York City,2,40.742045,-73.9900845,
Eataly NYC,Italian,Lunch/Dinner,FiDi|Nomad,New York City,2,40.7100647,-74.0119758,
Morgenstern's,Ice Cream,Desserts|Quick Bites,South Village|LES,New York City,1,40.727261,-73.999824,
Morgenstern's,Ice Cream,Desserts|Quick Bites,South Village|LES,New York City,1,40.721583,-73.9930434,
Jane,American,Brunch|Lunch/Dinner,South Village,New York City,2,40.72736768,-74.00025298,
ATLA,Mexican,Lunch/Dinner|Drinks,Noho,New York City,2,40.7272169,-73.9939688,
La Grande Boucherie,French,Lunch/Dinner|Date Night|Drinks,Midtown,New York City,3,40.7626274,-73.9808411,
Petite Boucherie,French,Cafe|Lunch/Dinner|Date Night,Greenwich Village,New York City,2,40.7338251,-74.0004194,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.7234207,-74.0088517,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.728403,-74.007437,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.775544,-73.9567155,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.7182525,-74.0082434,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.7321442,-73.9958345,
Poco,Spanish,Brunch|Drinks|To Share|Lunch/Dinner,East Village,New York City,2,40.7225107,-73.9829025,
Los Tacos No. 1,Mexican,Quick Bites|Lunch/Dinner,Chelsea|Tribeca|Murray Hill|Midtown,New York City,1,40.7142679,-74.0086752,
Los Tacos No. 1,Mexican,Quick Bites|Lunch/Dinner,Chelsea|Tribeca|Murray Hill|Midtown,New York City,1,40.7573133,-73.9874065,
Los Tacos No. 1,Mexican,Quick Bites|Lunch/Dinner,Chelsea|Tribeca|Murray Hill|Midtown,New York City,1,40.751501,-73.9777457,
Los Tacos No. 1,Mexican,Quick Bites|Lunch/Dinner,Chelsea|Tribeca|Murray Hill|Midtown,New York City,1,40.7422521,-74.0059635,
LOULOU,French,Date Night|Lunch/Dinner|Drinks,Chelsea,New York City,2,40.74262,-74.0000524,
Rosie's,Mexican,Lunch/Dinner|Drinks,East Village,New York City,2,40.7249241,-73.9906202,
Zazzy's Pizza,Pizza,Quick Bites,LES|Greenwich Village,New York City,1,40.7216176,-73.9886293,
Zazzy's Pizza,Pizza,Quick Bites,LES|Greenwich Village,New York City,1,40.7366623,-74.0019457,
Cecconi's,Italian,Lunch/Dinner|Date Night|Drinks,DUMBO,New York City,3,40.7035982,-73.9916626,
Kopitiam,Malaysian,Lunch/Dinner|Cafe|Quick Bites,LES,New York City,1,40.7137994,-73.9909127,
Kind Regards,Bar,Bar|Drinks,LES,New York City,2,40.7208262,-73.9878062,
Electric Burrito,Mexican,Quick Bites,East Village,New York City,1,40.7278725,-73.9854694,
