name,cuisine,category,location,price,lat,lng,rating
ZERO&,Tea|Bakery,Cafe|Quick Bites|Tea,Hayes Valley|Yerba Buena,1,37.776691,-122.423638,4.0
ZERO&,Tea|Bakery,Cafe|Quick Bites|Tea,Hayes Valley|Yerba Buena,1,37.7839767,-122.4054904,4.0
Taqueria Cazadores,Mexican,Quick Bites|Lunch/Dinner,Soma,1,37.7727806,-122.4188524,4.0
Itria,Italian,Lunch/Dinner|Drinks|Date Night,Mission,3,37.7524495,-122.417833,4.6
Yuanbao Jiaozi,Chinese,Quick Bites|Lunch/Dinner,Outer Sunset,1,37.7635395,-122.4807449,4.3
Chong Qing Xiao Mian,Chinese,Noodles|Lunch/Dinner,Chinatown,1,37.7964254,-122.4053439,4
Jaranita SF,Peruvian|Latin American,Lunch/Dinner|Drinks|Brunch,Marina/Cow Hollow,2,37.80024119999999,-122.4375457,4.3
Tartine Inner Sunset,Bakery|Cafe,Brunch|Cafe|Quick Bites,Inner Sunset,2,37.7653523,-122.4662942,4.2
Le Marais Bakery,French|Bakery|Cafe,Cafe|Brunch,Lower Nob Hill|Castro,2,37.7880597,-122.4192118,4
Le Marais Bakery,French|Bakery|Cafe,Cafe|Brunch,Lower Nob Hill|Castro,2,37.7612552,-122.43076,4
Pineapple King Bakery,Chinese|Bakery,Quick Bites,Outer Sunset,1,37.7633914,-122.4784707,4.7
San Tung,Chinese,Lunch/Dinner,Inner Sunset,2,37.7637858,-122.4690045,4
Great Eastern,Chinese|Dim Sum,To Share|Lunch/Dinner,Chinatown,2,37.7960366,-122.4059531,3.9
Pica Pica Arepa Kitchen,Venezuelan,Quick Bites|Lunch/Dinner,Mission,2,37.7664592,-122.4219016,4
Four Barrel Coffee,Coffee,Cafe,Mission,2,37.767021,-122.4219573,4.1
Ariscault Bakery,Bakery,Quick Bites,Inner Richmond|Civic Center,2,37.7834259,-122.4593062,4.2
Ariscault Bakery,Bakery,Quick Bites,Inner Richmond|Civic Center,2,37.7808806,-122.4134256,4.2
KAGAWA-YA UDON,Japanese|Udon,Noodles|Lunch/Dinner,Civic Center,2,37.7757569,-122.4181092,4
Trade Routes,Bar,Bar|Drinks,Polk Gulch,2,37.7930423,-122.4210628,4.1
Members Only,Bar,Bar|Lunch/Dinner,Lower Nob Hill,2,37.7873051,-122.4182117,4.3
Heist,American,Brunch,Lower Nob Hill,2,37.7878464,-122.412987,4
Hed Verythai,Thai,Lunch/Dinner,Union Square,2,37.790406,-122.4034643,3.8
Hinodeya,Japanese|Ramen,Lunch/Dinner,Chinatown|Union Square|Japantown,2,37.7945962,-122.404461,4
Hinodeya,Japanese|Ramen,Lunch/Dinner,Chinatown|Union Square|Japantown,2,37.7862424,-122.430058,4
Hinodeya,Japanese|Ramen,Lunch/Dinner,Chinatown|Union Square|Japantown,2,37.7862741,-122.4085169,4
Fort Point,Brewery,Drinks,Mission|Embarcadero,2,37.7609652,-122.4235695,4
Fort Point,Brewery,Drinks,Mission|Embarcadero,2,37.7955872,-122.3944197,4
La Oaxaqueña,Mexican,Lunch/Dinner,Mission,1,37.7629157,-122.4197557,4.3
Arbor,American,Lunch/Dinner|Brunch,Hayes Valley,2,37.7771087,-122.4226547,4
Back to Back,Wine,Lunch/Dinner|Drinks|Date Night,Nob Hill,2,37.7941628,-122.4132647,4.9
Loló,Mexican,Dinner|Drinks,Mission,2,37.7573807,-122.4213345,4
Good Good Culture Club,Asian,Dinner,Mission,3,37.7618143,-122.4229679,4.4
Marigold Cafe,Coffee,Cafe,Mission,1,37.7574875,-122.4085181,4.3
Rintaro,Japanese,Drinks|Dinner,Mission,3,37.768875,-122.4151361,4.4
Sextant Coffee Roasters,Coffee,Cafe,Soma,2,37.7724648,-122.412957,4.5
Lucinda's Deli & More,Sandwiches,Quick Bites,Alamo Square,2,37.7747974,-122.4362104,4.4
Fable,American,Lunch/Dinner|Brunch|Drinks|Date Night,Castro,2,37.7599538,-122.4351122,4.3
Dalva,Bar,Bar|Drinks,Mission,2,37.7647725,-122.4224923,4.3
Bar Part Time,Bar|Wine,Bar|Drinks,Mission,2,37.7681234,-122.4241805,4.6
Primavera,Mexican,Brunch|Quick Bites,Embarcadero,2,37.7956928,-122.392368,4.5
Anina,Bar,Bar|Drinks,Hayes Valley,2,37.77691720000001,-122.4243476,4.3
Rad Radish,Vegan,Lunch/Dinner|Brunch,Hayes Valley,2,37.7769287,-122.4215742,4.1
Bodega SF,Vietnamese,Lunch/Dinner,Union Square,2,37.7848262,-122.4093022,4.4
Ilcha,Korean,Dinner|Drinks|To Share,Marina/Cow Hollow,2,37.7995055,-122.4368309,4.3
Farley's Coffeehouse,Coffee,Cafe,Potrero Hill,1,37.76253320000001,-122.3960045,4
Plow,American,Brunch,Potrero Hill,2,37.762565,-122.395405,4.2
Abacá,Filipino,Brunch|Lunch/Dinner|Drinks|Date Night,Fisherman's Wharf,3,37.80673669999999,-122.4169367,4.6
Linden & Laguna,Wine,Bar|Dinner,Hayes Valley,2,37.77598450000001,-122.4260068,4
Hook Fish Co,Seafood,Lunch/Dinner|Quick Bites,Outer Sunset,2,37.7623799,-122.5068746,4.3
Eight Tables by George Chen,Chinese,Dinner|Drinks|Date Night,North Beach,4,37.7979431,-122.4078445,4.3
Turtle Tower,Vietnamese,Lunch/Dinner,Soma,1,37.7760817,-122.4022914,4
Beit Rima,Middle Eastern,Lunch/Dinner,Duboce Triangle|Cole Valley,2,37.7687195,-122.429274,4.2
Beit Rima,Middle Eastern,Lunch/Dinner,Duboce Triangle|Cole Valley,2,37.7659418,-122.4496866,4.2
Nari,Thai,Dinner|Date Night,Japantown,3,37.7855302,-122.4287969,4.6
Schlok's,Bagels,Quick Bites,Nopa,2,37.7738376,-122.4386874,3.8
20 Spot,Wine,Dinner|Drinks|Date Night,Mission,3,37.7584668,-122.4204123,4.5
Wildhawk,Bar,Bar|Drinks,Mission,2,37.7602833,-122.4207958,4.7
The Laundromat SF,Bagels|Pizza,Lunch/Dinner|Quick Bites|Drinks|Brunch,Outer Richmond,2,37.7755216,-122.498904,4.4
Mothership,Bar,Bar|Drinks,Mission,2,37.7469249,-122.419351,4.6
Devil's Teeth Baking Company,Cafe,Cafe|Brunch|Quick Bites,Outer Richmond|Outer Sunset,2,37.7531472,-122.5050278,4
Devil's Teeth Baking Company,Cafe,Cafe|Brunch|Quick Bites,Outer Richmond|Outer Sunset,2,37.7755224,-122.4977012,4
Sizzling Pot King,Chinese,Lunch/Dinner,Soma,2,37.7771586,-122.4126183,4.8
Beloved Cafe,Cafe|American,Brunch|Cafe|Juice,Mission,2,37.7522986,-122.4192935,4
Arizmendi Bakery,Bakery|Pizza,Quick Bites,Mission|Inner Sunset,2,37.7634047,-122.466442,4.5
Arizmendi Bakery,Bakery|Pizza,Quick Bites,Mission|Inner Sunset,2,37.7526428,-122.4211414,4.5
Breakfast Little,Cafe|Mexican,Brunch,Mission,2,37.7552508,-122.4203886,4.6
Copra,Indian,Date Night|Dinner|To Share|Drinks,Japantown,3,37.7853703,-122.4327894,4.8
Teakwood,Burmese,Dinner|Drinks|Date Night,Hayes Valley,2,37.7777216,-122.42299,4.4
Bansang,Korean,Date Night|Dinner|Drinks|To Share,Japantown,3,37.7840967,-122.4326346,4.2
District Tea,Tea|Japanese,Tea|Quick Bites|Lunch/Dinner,Mission,2,37.7625129,-122.4196039,4.5
buddy,Bar,Bar|Date Night|Drinks|Dinner,Mission,2,37.7554493,-122.4171118,4.5
